architecture,id,category,wall_clock_seconds,avg_cpu_pct,peak_ram_mb,total_tokens,prompt_tokens,completion_tokens,faithfulness,answer_relevancy,context_precision,context_recall
Naive,0,single-hop,2.01,13.49,5771.12,981,924,57,0.5,0.725942,1.0,1.0
Naive,1,single-hop,3.55,8.24,5772.48,988,911,77,1.0,0.904573,1.0,1.0
Naive,2,single-hop,4.22,7.69,5896.31,726,659,67,1.0,0.981913,1.0,1.0
Naive,3,single-hop,3.32,7.97,5777.45,826,734,92,0.857143,0.752632,1.0,1.0
Naive,4,single-hop,3.11,9.2,5778.28,986,921,65,1.0,0.741961,1.0,1.0
Naive,5,single-hop,5.99,5.65,5901.53,989,879,110,1.0,0.910957,1.0,1.0
Naive,6,single-hop,4.65,5.84,5900.45,918,849,69,0.833333,0.980858,1.0,1.0
Naive,7,single-hop,5.97,6.03,6015.47,800,671,129,1.0,0.783465,1.0,1.0
Naive,8,single-hop,5.1,6.5,6115.86,932,853,79,1.0,0.955354,1.0,1.0
Naive,9,single-hop,4.2,6.46,5900.75,900,849,51,1.0,0.720532,1.0,1.0
Naive,10,single-hop,3.79,8.19,6015.25,724,673,51,0.75,0.998673,1.0,1.0
Naive,11,single-hop,4.23,6.86,6105.72,750,682,68,1.0,0.877457,1.0,1.0
Naive,12,multi-hop,5.54,5.47,5903.33,984,889,95,0.8,0.748184,1.0,0.5
Naive,13,multi-hop,11.91,4.29,6027.7,1214,916,298,1.0,0.680339,1.0,1.0
Naive,14,multi-hop,5.76,6.15,6179.55,768,643,125,0.380952,0.765107,1.0,1.0
Naive,15,multi-hop,4.0,6.86,5903.62,614,535,79,0.6,0.879945,1.0,1.0
Naive,16,multi-hop,4.86,6.99,5980.59,622,516,106,0.25,0.828089,1.0,1.0
Naive,17,unanswerable,2.01,12.26,6059.88,511,497,14,0.0,0.0,0.0,1.0
Naive,18,unanswerable,2.45,9.52,5901.03,684,670,14,0.0,0.0,0.0,0.0
Naive,19,unanswerable,2.66,9.75,5986.59,721,707,14,0.0,0.0,0.0,1.0
Naive,20,unanswerable,3.13,8.66,6076.98,855,841,14,1.0,0.0,0.0,1.0
Naive,21,unanswerable,3.32,6.97,5900.84,914,900,14,0.0,0.0,0.0,1.0
Naive,22,unanswerable,3.13,8.51,6016.31,884,870,14,1.0,0.0,0.0,0.5
Naive,23,unanswerable,2.44,9.51,6127.22,892,878,14,0.0,0.0,0.0,0.5
Naive,24,unanswerable,2.65,8.28,5902.38,690,676,14,0.0,0.0,0.0,0.0
Uncapped,0,single-hop,4.7,14.87,6047.84,1214,1091,123,0.75,1.0,1.0,1.0
Uncapped,1,single-hop,8.79,8.6,6151.78,1204,1108,96,0.666667,0.94999,1.0,1.0
Uncapped,2,single-hop,7.42,9.62,6279.45,921,844,77,1.0,0.987017,1.0,1.0
Uncapped,3,single-hop,6.72,10.49,6098.86,1021,925,96,0.2,1.0,1.0,1.0
Uncapped,4,single-hop,8.58,8.69,6295.02,1029,937,92,0.8,0.947859,1.0,1.0
Uncapped,5,single-hop,10.33,7.32,6513.12,1210,1092,118,1.0,0.980756,1.0,1.0
Uncapped,6,single-hop,8.78,7.89,6178.84,1118,1033,85,1.0,0.988214,1.0,1.0
Uncapped,7,single-hop,10.13,7.76,6380.58,1017,859,158,0.777778,0.837923,1.0,1.0
Uncapped,8,single-hop,10.79,7.26,6595.33,1216,1075,141,1.0,0.990424,1.0,1.0
Uncapped,9,single-hop,8.1,8.65,6161.48,975,881,94,0.666667,0.698704,1.0,1.0
Uncapped,10,single-hop,8.12,8.86,6344.84,956,863,93,0.875,0.978174,1.0,1.0
Uncapped,11,single-hop,7.68,9.18,6526.66,948,869,79,0.833333,0.971667,1.0,1.0
Uncapped,12,multi-hop,7.4,9.3,6174.14,841,740,101,0.5,0.85606,1.0,0.5
Uncapped,13,multi-hop,7.96,9.41,6374.08,1052,942,110,0.6,0.755715,1.0,1.0
Uncapped,14,multi-hop,9.1,8.32,6574.53,1063,964,99,0.666667,0.833223,1.0,0.5
Uncapped,15,multi-hop,8.06,8.99,6177.27,866,744,122,0.75,0.795096,1.0,1.0
Uncapped,16,multi-hop,7.65,9.66,6324.2,826,721,105,0.666667,0.904755,1.0,1.0
Uncapped,17,unanswerable,87.54,6.41,7235.05,14469,14113,356,0.666667,0.0,0.0,1.0
Uncapped,18,unanswerable,51.75,6.26,7323.45,7361,7197,164,0.0,0.0,0.0,1.0
Uncapped,19,unanswerable,61.16,6.58,8037.64,9853,9668,185,1.0,0.0,0.0,1.0
Uncapped,20,unanswerable,127.06,5.22,7094.3,17512,17239,273,0.0,0.0,0.0,1.0
Uncapped,21,unanswerable,21.94,6.81,6451.44,2492,2332,160,0.166667,0.81685,0.0,1.0
