level,hardware_metric,quality_metric,pearson_r,pearson_p,spearman_rho,spearman_p,n
Naive,wall_clock_seconds,faithfulness,0.4376,0.0287,0.5175,0.0081,25
Naive,wall_clock_seconds,answer_relevancy,0.4401,0.0277,0.6119,0.0012,25
Naive,wall_clock_seconds,context_precision,0.4986,0.0112,0.6782,0.0002,25
Naive,wall_clock_seconds,context_recall,0.2629,0.2042,0.3451,0.0911,25
Naive,avg_cpu_pct,faithfulness,-0.4529,0.023,-0.4318,0.0311,25
Naive,avg_cpu_pct,answer_relevancy,-0.4607,0.0205,-0.5068,0.0097,25
Naive,avg_cpu_pct,context_precision,-0.4595,0.0209,-0.6066,0.0013,25
Naive,avg_cpu_pct,context_recall,-0.143,0.4952,-0.2261,0.2771,25
Naive,peak_ram_mb,faithfulness,-0.1261,0.5482,-0.0676,0.748,25
Naive,peak_ram_mb,answer_relevancy,-0.2043,0.3273,-0.1705,0.4152,25
Naive,peak_ram_mb,context_precision,-0.2378,0.2524,-0.2616,0.2065,25
Naive,peak_ram_mb,context_recall,0.0249,0.9058,-0.0976,0.6426,25
Naive,total_tokens,faithfulness,0.508,0.0095,0.5305,0.0064,25
Naive,total_tokens,answer_relevancy,0.2224,0.2853,0.1271,0.545,25
Naive,total_tokens,context_precision,0.2967,0.1499,0.3448,0.0914,25
Naive,total_tokens,context_recall,0.1465,0.4846,0.123,0.5582,25
Uncapped,wall_clock_seconds,faithfulness,-0.3792,0.0616,-0.0062,0.9764,25
Uncapped,wall_clock_seconds,answer_relevancy,-0.803,0.0,-0.6879,0.0001,25
Uncapped,wall_clock_seconds,context_precision,-0.7515,0.0,-0.7536,0.0,25
Uncapped,wall_clock_seconds,context_recall,-0.0414,0.8443,-0.1726,0.4094,25
Uncapped,avg_cpu_pct,faithfulness,0.1544,0.4613,0.0249,0.906,25
Uncapped,avg_cpu_pct,answer_relevancy,0.608,0.0013,0.665,0.0003,25
Uncapped,avg_cpu_pct,context_precision,0.5934,0.0018,0.7042,0.0001,25
Uncapped,avg_cpu_pct,context_recall,0.2504,0.2274,0.2343,0.2595,25
Uncapped,peak_ram_mb,faithfulness,0.0526,0.8029,0.1334,0.5249,25
Uncapped,peak_ram_mb,answer_relevancy,-0.785,0.0,-0.6205,0.0009,25
Uncapped,peak_ram_mb,context_precision,-0.7138,0.0001,-0.6548,0.0004,25
Uncapped,peak_ram_mb,context_recall,-0.1998,0.3383,-0.2377,0.2527,25
Uncapped,total_tokens,faithfulness,-0.325,0.1129,-0.0665,0.7521,25
Uncapped,total_tokens,answer_relevancy,-0.8142,0.0,-0.5105,0.0091,25
Uncapped,total_tokens,context_precision,-0.7607,0.0,-0.7536,0.0,25
Uncapped,total_tokens,context_recall,0.0051,0.9807,-0.1472,0.4825,25
Capped,wall_clock_seconds,faithfulness,-0.5232,0.0073,-0.4288,0.0325,25
Capped,wall_clock_seconds,answer_relevancy,-0.7437,0.0,-0.5043,0.0101,25
Capped,wall_clock_seconds,context_precision,-0.9111,0.0,-0.8088,0.0,25
Capped,wall_clock_seconds,context_recall,-0.503,0.0104,-0.4287,0.0325,25
Capped,avg_cpu_pct,faithfulness,-0.0776,0.7125,-0.112,0.594,25
Capped,avg_cpu_pct,answer_relevancy,-0.1352,0.5192,-0.2124,0.3082,25
Capped,avg_cpu_pct,context_precision,-0.0186,0.9296,-0.107,0.6106,25
Capped,avg_cpu_pct,context_recall,-0.0077,0.9709,-0.1505,0.4726,25
Capped,peak_ram_mb,faithfulness,-0.3606,0.0766,-0.3308,0.1063,25
Capped,peak_ram_mb,answer_relevancy,-0.6772,0.0002,-0.3946,0.0509,25
Capped,peak_ram_mb,context_precision,-0.6892,0.0001,-0.6302,0.0007,25
Capped,peak_ram_mb,context_recall,-0.2098,0.3142,-0.3544,0.0822,25
Capped,total_tokens,faithfulness,-0.5169,0.0081,-0.4016,0.0466,25
Capped,total_tokens,answer_relevancy,-0.7633,0.0,-0.487,0.0136,25
Capped,total_tokens,context_precision,-0.9291,0.0,-0.8088,0.0,25
Capped,total_tokens,context_recall,-0.4887,0.0132,-0.3886,0.0549,25
Pooled,wall_clock_seconds,faithfulness,-0.1789,0.1246,0.02,0.8648,75
Pooled,wall_clock_seconds,answer_relevancy,-0.4137,0.0002,-0.0969,0.4084,75
Pooled,wall_clock_seconds,context_precision,-0.413,0.0002,-0.2444,0.0346,75
Pooled,wall_clock_seconds,context_recall,-0.0461,0.6944,-0.1353,0.2472,75
Pooled,avg_cpu_pct,faithfulness,-0.1011,0.3883,-0.1682,0.1491,75
Pooled,avg_cpu_pct,answer_relevancy,0.0257,0.8268,0.0846,0.4704,75
Pooled,avg_cpu_pct,context_precision,0.01,0.932,-0.0174,0.8825,75
Pooled,avg_cpu_pct,context_recall,0.0026,0.9821,-0.0749,0.5228,75
Pooled,peak_ram_mb,faithfulness,-0.0111,0.9246,-0.0318,0.7865,75
Pooled,peak_ram_mb,answer_relevancy,-0.3963,0.0004,-0.1317,0.2602,75
Pooled,peak_ram_mb,context_precision,-0.4433,0.0001,-0.3085,0.0071,75
Pooled,peak_ram_mb,context_recall,-0.1382,0.237,-0.1886,0.1051,75
Pooled,total_tokens,faithfulness,-0.169,0.1471,0.0551,0.6388,75
Pooled,total_tokens,answer_relevancy,-0.4502,0.0001,-0.1235,0.2912,75
Pooled,total_tokens,context_precision,-0.4402,0.0001,-0.3085,0.0071,75
Pooled,total_tokens,context_recall,-0.0249,0.8318,-0.1301,0.2659,75
